,track,artist,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,chorus_hit,sections,target,Year
11,Amarillo Sky,Jason Aldean,spotify:track:0axUHkhMMY0YSC1jFBVWqv,0.491,0.7759999999999999,2,-3.887,1,0.0393,0.314,0.0,0.146,0.428,154.988,202547,4,37.86861,9,1,2000
12,Gin And Juice,Hot Rod Circuit,spotify:track:1xthH0Ze4FYo2y99QuJUUj,0.455,0.737,1,-6.206,1,0.0272,0.00114,0.000487,0.195,0.20600000000000002,94.02799999999999,224053,4,62.777590000000004,9,0,2000
13,Six-Pack Summer,Phil Vassar,spotify:track:23qDMWnwf8p0pr5slljB6i,0.725,0.733,0,-6.66,1,0.0242,0.508,0.0,0.17300000000000001,0.843,100.311,219827,4,27.0663,8,1,2000
14,Hatho Pai Kariya Na Kar,Kartar Ramla,spotify:track:7KA8tQVcGqCHHdGwSCRi6v,0.49700000000000005,0.42100000000000004,2,-14.059000000000001,0,0.187,0.985,0.8390000000000001,0.14800000000000002,0.804,92.19,232719,4,33.3613,15,0,2000
15,Serious Hardcore - Original Mix,Ham,spotify:track:6mGnxmegYYJA2TkhXCbOkb,0.509,0.9420000000000001,11,-6.899,1,0.0628,0.0006389999999999999,0.882,0.0788,0.163,169.96,460080,4,34.78597,12,0,2000
16,Daddy Won't Sell The Farm,Montgomery Gentry,spotify:track:2Wt173KM9i97KSB52qCuqj,0.708,0.728,7,-7.039,1,0.0298,0.011000000000000001,2.26e-05,0.0556,0.7040000000000001,119.881,258640,4,33.81641,15,1,2000
17,Move Along,The All-American Rejects,spotify:track:2l57cfmCnOkwNX1tky02n1,0.518,0.9159999999999999,3,-3.858,1,0.0454,0.000148,0.0,0.29100000000000004,0.6459999999999999,109.86399999999999,238880,4,19.81215,10,1,2000
18,Era De Maggio,Tito Schipa,spotify:track:1YJ7qQEFIkh2r8VEb5X8lp,0.395,0.248,1,-10.025,1,0.0519,0.9790000000000001,0.0,0.177,0.324,85.17399999999999,207888,3,34.502520000000004,10,0,2000
19,Apply Some Pressure,Maximo Park,spotify:track:19503qDaxgCdPL2BhJngij,0.37799999999999995,0.953,9,-3.6319999999999997,1,0.138,0.000719,2.8899999999999998e-05,0.0936,0.512,167.808,200347,4,20.58661,12,0,2000
20,It's So Hard,Big Punisher Featuring Donell Jones,spotify:track:5NQdweL8O7nGdM7e4IS1lf,0.9,0.593,10,-6.629,0,0.33299999999999996,0.0554,0.0,0.0304,0.633,92.946,172933,4,21.78144,9,1,2000
21,Celtic Pride,The Mahones,spotify:track:2lAbqS3XIaHpZyhwW3pMjg,0.32899999999999996,0.812,2,-11.48,1,0.0872,0.0141,0.0786,0.0603,0.4,165.013,272880,4,97.84874,9,0,2000
22,Birth Interlude,Clubroot,spotify:track:4wuqqKXIbFBB8MX0EYpj96,0.389,0.598,4,-8.472999999999999,1,0.0363,0.782,0.948,0.0825,0.0396,140.002,226147,4,22.35533,10,0,2000
23,Make It Rain,Fat Joe Featuring Lil Wayne,spotify:track:1Ji8DhJGIQuV9kBiTgcChh,0.7440000000000001,0.6970000000000001,11,-5.063,0,0.19699999999999998,0.0106,0.0,0.0842,0.767,149.28,247413,4,42.63475,9,1,2000
24,Here Comes The Summer,The Fiery Furnaces,spotify:track:257xjCQOUQaSOwQWw9fTe1,0.723,0.785,5,-5.722,1,0.0302,0.0247,0.0034700000000000004,0.26,0.816,128.03,209987,4,64.24515,9,0,2000
25,In the Dreamlife You Need a Rubber Soul,The Clean,spotify:track:5HKa6wcKiCxpBDSt3sY0mk,0.56,0.8079999999999999,10,-6.725,1,0.0306,0.2,0.308,0.41600000000000004,0.691,128.05100000000002,205827,4,30.933909999999997,11,0,2000
26,He Gets That From Me,Reba McEntire,spotify:track:46a3BjDPBdi6OngVhTkuM6,0.643,0.391,10,-10.09,1,0.0296,0.622,1.3800000000000002e-05,0.11,0.418,143.786,219933,4,28.431240000000003,12,1,2000
27,Stay - 2006 Remaster,Frankie Valli & The Four Seasons,spotify:track:4T8LdAE3UU0mWIzrB9gnIg,0.735,0.732,10,-8.915,1,0.0699,0.5720000000000001,2.61e-05,0.0997,0.6559999999999999,117.58,116507,4,45.59357,5,0,2000
28,Improvisation 5,Joe Mcphee,spotify:track:5H1K7aT6Ox3rDBygoqVpNo,0.536,0.081,8,-20.968000000000004,1,0.0877,0.958,0.922,0.113,0.47700000000000004,138.498,186973,1,27.018629999999998,8,0,2000
29,Carlene,Phil Vassar,spotify:track:339hc1FygD8oJl4kg24IjG,0.5870000000000001,0.88,4,-5.725,1,0.0324,0.0784,0.0,0.182,0.778,129.222,246240,4,20.93198,10,1,2000
30,Someday,Sugar Ray,spotify:track:6NcHJ23mLQKnVxQcOmT7JW,0.743,0.67,1,-4.547,0,0.0293,0.0108,0.0702,0.22,0.934,110.83200000000001,243333,4,25.36994,12,1,2000
31,7 Days,Craig David,spotify:track:0gPQTLaqHDgdupKEok7J2x,0.659,0.812,4,-7.499,0,0.0487,0.23,0.0,0.0951,0.888,83.01299999999999,235133,4,25.46132,12,1,2000
32,True Rebel,Nitrogenetics,spotify:track:4atXnrsTrNuKSi7DMU5wdY,0.539,0.985,1,-7.354,1,0.126,0.00857,0.12,0.0792,0.127,162.065,363000,4,25.11119,17,0,2000
33,Rock Your Body,Justin Timberlake,spotify:track:1AWQoqb9bSvzTjaLralEkT,0.8909999999999999,0.7140000000000001,4,-6.055,0,0.14,0.20199999999999999,0.000234,0.0521,0.818,100.97200000000001,267267,4,37.11249,12,1,2000
34,Bed,J. Holiday,spotify:track:6TlRNJaezOdzdECnQeRuMM,0.684,0.606,5,-7.268,0,0.0504,0.17,0.0,0.057999999999999996,0.723,127.90100000000001,275107,4,41.49527,13,1,2000
35,Daft Punk Is Playing at My House - Soulwax Shibuya Mix,LCD Soundsystem,spotify:track:7d7l6Qnbnqv9nkuHrh6p1N,0.6579999999999999,0.9540000000000001,9,-5.376,1,0.0792,0.000891,9.800000000000001e-06,0.115,0.486,132.029,411084,3,37.91539,18,0,2000
36,Scars,Papa Roach,spotify:track:1UREw2MCfU0xwBzCAjxlUD,0.47100000000000003,0.9359999999999999,11,-3.3539999999999996,1,0.0448,0.0783,0.0,0.171,0.45,89.881,208186,4,22.214129999999997,7,1,2000
37,Ain't It Funny,Jennifer Lopez Featuring Ja Rule,spotify:track:5ahFyKndeg1hqfmNumL3WF,0.7809999999999999,0.746,8,-2.6860000000000004,1,0.17,0.364,0.0,0.098,0.7859999999999999,89.43,229800,4,26.642979999999998,10,1,2000
38,Sound Of Madness,Shinedown,spotify:track:0W9Xvd4Qx1aZPxEi94vgRY,0.32799999999999996,0.9390000000000001,2,-1.6540000000000001,0,0.0423,4.93e-05,0.0065,0.337,0.32899999999999996,185.97099999999998,233987,4,78.255,7,1,2000
39,Here I Am,Rick Ross Featuring Nelly & Avery Storm,spotify:track:67yGTWcR72BZvsrSS2dHST,0.746,0.7170000000000001,10,-5.787999999999999,0,0.127,0.18899999999999997,0.0,0.0704,0.475,109.75299999999999,209547,4,38.40043,11,1,2000
40,Black Sails At Midnight,Alestorm,spotify:track:5K5lrptyRqoVYYDhADvzSM,0.493,0.977,5,-3.8080000000000003,0,0.151,7.21e-06,0.005379999999999999,0.35600000000000004,0.322,100.02,210987,4,55.87392,10,0,2000
41,Crush,David Archuleta,spotify:track:4wCD0qOFNRu1Q6O3N6ycm4,0.57,0.664,0,-4.718,0,0.0322,0.00836,1.2e-05,0.0719,0.48700000000000004,162.084,213520,4,33.46,8,1,2000
42,Caustic Disco,Velvet Acid Christ,spotify:track:10ZjRxNkqhgs4BKLuggiil,0.564,0.878,7,-6.835,1,0.0499,9.11e-06,0.7929999999999999,0.6709999999999999,0.483,127.046,287600,4,50.274370000000005,11,0,2000
43,Arctic,Valhall,spotify:track:4c3TPYPHOgChuFnzECCZPX,0.27699999999999997,0.836,2,-6.563,1,0.0458,0.000225,0.0284,0.11699999999999999,0.35100000000000003,95.514,267128,4,23.12976,10,0,2000
44,Some Beach,Blake Shelton,spotify:track:7kWeSMXLxUHHOkFxsS0vhP,0.787,0.765,0,-6.331,1,0.0265,0.231,1.7899999999999998e-05,0.32299999999999995,0.9640000000000001,115.979,204827,4,30.213040000000003,10,1,2000
45,When You Lie Next To Me,Kellie Coffey,spotify:track:6EwbFB8T0uIaaRCNwAIrnS,0.312,0.40399999999999997,5,-10.014,1,0.0293,0.184,0.0,0.306,0.115,138.425,239827,4,54.21894,12,1,2000
46,"1, 2, 3, 4",Plain White T's,spotify:track:5VWmMZCfJ4yVkJw9ZLFXej,0.45799999999999996,0.55,2,-7.0920000000000005,1,0.0262,0.5660000000000001,1.39e-05,0.10800000000000001,0.56,90.56,198360,4,22.42462,10,1,2000
47,Mama's Song,Carrie Underwood,spotify:track:0m8Ta268d1kBBG7lxMyWqa,0.341,0.659,2,-5.419,1,0.0357,0.442,0.0,0.096,0.26899999999999996,79.987,240240,4,25.29826,14,1,2000
48,Occult Glider,Jazkamer,spotify:track:2Q4VI3YbXvqzq22dWmPkp8,0.168,0.8079999999999999,7,-4.563,0,0.10800000000000001,0.0329,0.9640000000000001,0.331,0.0209,91.26899999999999,745600,3,76.55211,28,0,2000
49,Hotarunohikari,Ikimonogakari,spotify:track:7HAkrW8JUYoVR9dXwb6Uku,0.5660000000000001,0.919,2,-1.901,0,0.0639,0.0666,0.0,0.34,0.55,146.99,242293,4,30.404909999999997,11,0,2000
50,Used To Love U,John Legend,spotify:track:051NZ3rr3HXTULCEySJRX3,0.6609999999999999,0.7959999999999999,7,-4.776,1,0.0833,0.0347,0.0,0.396,0.657,87.98200000000001,210867,4,25.31054,9,1,2000
51,Rush,Aly & AJ,spotify:track:1dpXikU9kSyxm1mKulwHws,0.5479999999999999,0.815,2,-5.218,0,0.0409,0.0175,8.900000000000001e-06,0.127,0.212,129.963,191733,4,42.491209999999995,8,1,2000
52,I Remember,Keyshia Cole,spotify:track:1dObJGQUgJ7tWxJ0byON6W,0.42200000000000004,0.736,5,-4.426,0,0.049,0.203,0.0,0.102,0.303,129.278,260093,4,29.054240000000004,12,1,2000
53,Feeling Good - No Apologize Radio Edit,DJ Wag,spotify:track:0wuMFLlxogpv7clNUG9KmW,0.71,0.7959999999999999,0,-9.427,1,0.0554,0.00875,0.8590000000000001,0.10099999999999999,0.523,135.012,239964,4,18.225170000000002,14,0,2000
54,We Made It,Busta Rhymes Featuring Linkin Park,spotify:track:26jVcJqG66nj36jRqPBp2U,0.62,0.746,11,-6.006,1,0.0552,0.424,0.0,0.0684,0.191,138.454,238067,4,23.56907,11,1,2000
55,Almost Home,Craig Morgan,spotify:track:6FW9MTGMjR5A6q2o7PLuuz,0.525,0.48100000000000004,8,-6.715,1,0.0251,0.302,0.0,0.121,0.237,75.97399999999999,289000,4,42.11222,11,1,2000
56,Who Let The Dogs Out,Baha Men,spotify:track:1H5tvpoApNDxvxDexoaAUo,0.8690000000000001,0.887,0,-4.505,1,0.0993,0.0605,0.0,0.14800000000000002,0.784,129.221,198400,4,29.401429999999998,10,1,2000
57,Pollution Rock,Nordre Sving,spotify:track:0nDQHCFVIZSudI5KigcO8z,0.547,0.6829999999999999,2,-7.749,1,0.0368,0.0236,0.0,0.09300000000000001,0.888,94.93700000000001,163997,4,48.12128,8,0,2000
58,Ordinary People,John Legend,spotify:track:2ZA4uMlSZjaoWGFqP1tsLI,0.469,0.132,10,-14.001,1,0.0807,0.929,0.0,0.0873,0.36,67.01100000000001,281467,3,23.73524,11,1,2000
59,Coming Back Around - Domu Re-Beat Mix,Domu,spotify:track:3ux9LeNRAgENFLcI7ZFebb,0.364,0.866,1,-6.797999999999999,1,0.139,0.0134,0.00618,0.109,0.963,189.09099999999998,374773,3,29.831220000000002,19,0,2000
60,Living In Fast Forward,Kenny Chesney,spotify:track:0cE0J96KeivafL6goJwpmq,0.6890000000000001,0.907,9,-5.587000000000001,1,0.037000000000000005,0.0254,0.000732,0.138,0.912,116.96799999999999,211893,4,41.28787,10,1,2000
61,Königin,Faun,spotify:track:5ZaquedAbEd7VAJfe0FLhE,0.602,0.32799999999999996,3,-16.128,1,0.0249,0.8420000000000001,0.000758,0.20800000000000002,0.413,108.00299999999999,385253,4,43.01027,21,0,2000
62,How Far,Martina McBride,spotify:track:45wdPEiLuyv4oSwWQOX93R,0.473,0.59,6,-5.372999999999999,1,0.0298,0.359,0.0,0.10099999999999999,0.33399999999999996,140.191,235307,4,38.45284,10,1,2000
63,5 Star,Yo Gotti,spotify:track:6N9wsG0HYEpGEr0Ihgbz5r,0.715,0.809,9,-5.598,1,0.205,0.0607,0.0,0.35200000000000004,0.636,76.493,247440,4,29.852590000000003,9,1,2000
64,Luckiest Man,The Wood Brothers,spotify:track:26uHwSHlaK5mskSMhbRod3,0.5710000000000001,0.281,5,-10.56,1,0.0475,0.74,0.0,0.163,0.294,142.263,233667,4,42.295809999999996,9,0,2000
65,Blow Me,DJ D,spotify:track:2ohXvQLyB5RbZ0du4fAQHX,0.461,0.93,8,-8.343,0,0.187,0.0531,0.733,0.177,0.14,163.93400000000003,371984,4,48.209559999999996,19,0,2000
66,Still Broken,Plan Three,spotify:track:2ajt6aQwvgu2eJbNIZhJFY,0.51,0.8809999999999999,11,-4.3839999999999995,0,0.0354,0.000591,1.4599999999999999e-05,0.131,0.278,91.03399999999999,232093,4,31.97236,9,0,2000
67,Life Ain't Always Beautiful,Gary Allan,spotify:track:3unLUM6bJcy5beGawHpynM,0.48100000000000004,0.508,2,-7.666,1,0.0248,0.21600000000000003,0.000175,0.105,0.268,86.01299999999999,224613,4,71.34437,7,1,2000
68,Kiss A Girl,Keith Urban,spotify:track:4DyKZmONpoggnn3piyjad2,0.653,0.7859999999999999,2,-5.417999999999999,1,0.0338,0.0103,2.19e-06,0.201,0.47700000000000004,120.992,226733,4,33.553259999999995,9,1,2000
69,Open House,Guru,spotify:track:2nIQLI6m0qgjuZ6eO3f7r3,0.7440000000000001,0.7390000000000001,4,-6.272,0,0.307,0.11900000000000001,0.0,0.106,0.6779999999999999,79.245,185582,4,28.99861,8,0,2000
70,1000 Estrellas,Charlie 3,spotify:track:4dk59nVJKBJCPupuL6RGae,0.473,0.722,5,-5.176,1,0.0358,0.00507,0.0,0.377,0.5489999999999999,149.625,256000,4,40.17949,11,0,2000
71,Another Postcard (Chimps),Barenaked Ladies,spotify:track:6rMx1neL9mLYivQ5U6PFk3,0.621,0.747,1,-6.5520000000000005,0,0.0782,0.00227,0.000234,0.0449,0.726,172.31,205267,4,63.6742,8,1,2000
72,As Good As I Once Was,Toby Keith,spotify:track:7G6l2FtQyRhQgYgut2I6i8,0.68,0.87,5,-4.461,1,0.0393,0.266,0.0,0.109,0.6459999999999999,119.075,227840,4,57.79785,10,1,2000
73,Headsprung,LL Cool J,spotify:track:1GIN41bLhiKeEPeC2vXH8i,0.718,0.7859999999999999,0,-5.76,1,0.0284,0.0114,2.5e-05,0.0745,0.465,99.916,267320,4,40.33202,20,1,2000
74,Polonaise Brilliante,Nikolai Kapustin,spotify:track:3sO3HX4EP1jS9rZW9OvHCN,0.387,0.268,0,-13.995999999999999,1,0.0348,0.995,0.828,0.0942,0.337,113.35700000000001,518227,4,28.63663,17,0,2000
75,Forever Heavy,Black Moth Super Rainbow,spotify:track:56e8Ac9LVRJf3SvVa9vVg0,0.384,0.735,5,-4.856,0,0.0383,0.703,0.9209999999999999,0.23199999999999998,0.276,133.906,256013,4,78.69983,10,0,2000
76,Treasure,Trevor Rabin,spotify:track:2X42kkAi74tp2Je6OuML6c,0.064,0.0794,3,-16.971,1,0.0403,0.43200000000000005,0.8959999999999999,0.151,0.0356,63.29,218947,4,57.702169999999995,12,0,2000
77,L.A. Song,Beth Hart,spotify:track:69pBTbnLue0leYUCMAFqPj,0.35100000000000003,0.615,7,-7.621,1,0.0451,0.20600000000000002,0.0,0.985,0.337,127.79799999999999,271107,3,58.57055,10,1,2000
78,Chicks Dig It,Chris Cagle,spotify:track:0nprj2O0teCglthuhzTG5o,0.596,0.9209999999999999,7,-4.987,1,0.0504,0.0221,0.0,0.303,0.703,104.024,210560,4,29.07478,11,1,2000
79,Nin-com-pop - Two Lone Swordsmen - Sampler Version,Lali Puna,spotify:track:6VVvxfr9thHNyd61X0FNAV,0.726,0.294,4,-14.450999999999999,0,0.0472,0.595,0.7170000000000001,0.0385,0.185,125.712,206733,4,29.711170000000003,12,0,2000
80,I Wanna Be Your Dog,Sky Saxon,spotify:track:1jEOVktr2HSpay9i6pqWBG,0.598,0.782,4,-6.018,1,0.0305,0.40700000000000003,6.55e-05,0.5579999999999999,0.298,118.93799999999999,205053,4,21.294420000000002,10,0,2000
81,What's Left Of Me,Nick Lachey,spotify:track:1bPqAXwNiVcM6zjJU1Z4Cd,0.42100000000000004,0.728,7,-5.644,1,0.035,0.136,0.0,0.136,0.311,150.12,244667,4,29.221790000000002,11,1,2000
82,I Learned From The Best,Whitney Houston,spotify:track:3wACjmQo7ZkRNMLfZXndFB,0.609,0.563,5,-6.284,0,0.0328,0.0109,7.76e-06,0.156,0.306,148.94899999999998,259533,4,41.68325,14,1,2000
83,Broken,Seether Featuring Amy Lee,spotify:track:507bYMYfbm6sUS9iEAaeSd,0.44799999999999995,0.61,3,-2.695,0,0.0342,0.0102,0.000491,0.135,0.214,123.762,258333,4,48.88537,12,1,2000
84,I'd Do Anything,Simple Plan,spotify:track:4uVjbl6daCwjhDur7qLddu,0.395,0.917,8,-6.86,1,0.133,0.00143,0.0,0.261,0.563,169.088,197640,4,30.63383,6,1,2000
85,Sleepy Silver Door,Dead Meadow,spotify:track:2HlBvuaKhdftTRb3TCklhQ,0.365,0.632,11,-6.574,1,0.0303,0.444,0.708,0.127,0.289,129.545,452747,4,43.87393,15,0,2000
86,People Make The World Go Round (Boris Main Mix),Joi Cardwell,spotify:track:6UhrIkR4sDh8LpoWdUVzt1,0.792,0.637,4,-9.826,0,0.0743,0.000443,0.44799999999999995,0.0698,0.366,127.98899999999999,481350,4,57.90045,18,0,2000
87,God Is Dead,Heart Attack,spotify:track:0k3akiXIyGFLT31IC3twkP,0.34299999999999997,0.972,1,-9.573,0,0.079,1.52e-06,0.51,0.0501,0.547,94.927,82187,4,14.984539999999999,3,0,2000
88,Meet Me Halfway,The Black Eyed Peas,spotify:track:0xfpx7AiwgSKEtjotea2L6,0.7979999999999999,0.629,11,-6.857,0,0.0735,0.00474,2.17e-05,0.324,0.4,130.0,284373,4,30.48537,14,1,2000
89,Deathmask Divine,The Black Dahlia Murder,spotify:track:3oCTRjyXmT1MMn4nVQMKBm,0.47100000000000003,0.993,1,-3.738,1,0.191,7.36e-06,0.00216,0.0925,0.0672,113.99600000000001,217253,4,18.99449,12,0,2000
90,Step Daddy,Hitman Sammy Sam,spotify:track:1TKRumlRMXv2SEKPhueya0,0.93,0.773,1,-5.98,1,0.0457,0.00609,0.000481,0.0767,0.348,118.99700000000001,230493,4,31.991870000000002,10,1,2000
91,Rock and Roll Marionett,Stein Ingebrigtsen,spotify:track:1VOPQGI9tO0S1SKSoOqAiC,0.682,0.579,7,-7.9239999999999995,1,0.0712,0.196,0.0,0.136,0.784,100.186,222589,4,43.760459999999995,8,0,2000
92,I Miss You,Blink-182,spotify:track:1oTo3ijRbaDAtrjJrGAPSw,0.664,0.7809999999999999,11,-6.547000000000001,1,0.0339,0.00103,5.33e-06,0.0867,0.593,110.0,227240,4,30.64844,10,1,2000
93,Gråt inga tårar mer,Titanix,spotify:track:3M9rd6Ypxn783h5Y5HLNjF,0.59,0.836,7,-2.805,1,0.0385,0.0033399999999999997,0.0,0.0358,0.9390000000000001,138.84,143000,4,45.105309999999996,6,0,2000
94,The Saints Are Coming,U2 & Green Day,spotify:track:6uQL0epVs9N9Bergafaf6x,0.315,0.81,4,-7.026,0,0.0468,0.0781,0.00321,0.152,0.11800000000000001,152.116,201907,4,33.25761,11,1,2000
95,Good Luck,Basement Jaxx,spotify:track:2bmmeB82W3J241MijDIiHk,0.5770000000000001,0.9359999999999999,5,-4.178999999999999,1,0.0915,0.0839,0.0,0.344,0.5720000000000001,153.985,211547,4,25.54091,12,0,2000
96,Beautiful,Christina Aguilera,spotify:track:3TCauNPqFiniaYHBvEVoHG,0.457,0.573,5,-3.866,0,0.0275,0.578,3.05e-06,0.114,0.0992,76.193,238560,4,29.82293,11,1,2000
97,The Orange Fox Waits,Robin Spielberg,spotify:track:1aTcDNvEBoqWN9FxuoBhfB,0.441,0.0712,2,-21.625,1,0.0456,0.995,0.934,0.0917,0.157,94.35,185533,4,58.47325,7,0,2000
98,You Rock My World,Java Gospel,spotify:track:00nQhTtc8FxgmB0NWypSE0,0.662,0.8540000000000001,1,-5.518,1,0.0434,0.133,0.0,0.33299999999999996,0.915,121.961,245947,4,40.45327,11,0,2000
99,Shadow Of The Day,Linkin Park,spotify:track:0OYcEfskah1egYHjYRvbg1,0.534,0.39299999999999996,11,-7.813,1,0.0292,0.00479,0.0107,0.107,0.0641,110.007,290360,4,58.456019999999995,9,1,2000
100,99.9% Sure (I've Never Been Here Before),Brian McComas,spotify:track:14ymPtb1n06KzSm0J9bmMZ,0.606,0.9590000000000001,7,-3.412,1,0.0522,0.0714,0.0,0.23600000000000002,0.7340000000000001,116.014,193293,4,59.85298,8,1,2000
101,Some People Change,Montgomery Gentry,spotify:track:7cmZDjXMF1A0dGV726pMYs,0.55,0.61,2,-6.358,1,0.0388,0.0456,0.0,0.11,0.35700000000000004,168.18599999999998,201867,4,24.3249,11,1,2000
102,Right Where You Want Me,Jesse McCartney,spotify:track:58ZvuqZgeuZMCbpCsH9E76,0.72,0.5479999999999999,4,-4.805,0,0.0291,0.0026899999999999997,0.000118,0.0511,0.7090000000000001,99.00399999999999,211693,4,28.305159999999997,8,1,2000
103,Baby It's You,JoJo Featuring Bow Wow,spotify:track:5TV96lkS2NF6kzILjORzLs,0.858,0.607,1,-4.199,1,0.11800000000000001,0.0169,3.97e-05,0.0777,0.821,119.986,188293,3,66.31259,9,1,2000
104,Help Pour Out The Rain (Lacey's Song),Buddy Jewell,spotify:track:4xWIqUIlfrusaaygS9RQsR,0.565,0.562,0,-7.43,1,0.0339,0.263,0.0,0.0994,0.652,75.035,229093,4,25.98469,9,1,2000
105,Ever The Same,Rob Thomas,spotify:track:02acUMylPHMjJ9miDc9b38,0.435,0.7290000000000001,1,-4.8180000000000005,0,0.0307,0.0152,2.6300000000000002e-05,0.11,0.524,188.017,256600,4,41.423140000000004,10,1,2000
106,Bombay Jazz,Carlo Fashion,spotify:track:470NlXJBatHwrcnfGFJylg,0.65,0.72,11,-8.802999999999999,1,0.161,0.0238,0.14,0.36700000000000005,0.738,154.664,170213,4,59.91441999999999,4,0,2000
107,Punk Fact Or Faction,Extreme Noise Terror,spotify:track:0dRyY3VAXutGwDyK1cB4ZL,0.17300000000000001,0.997,4,-3.6919999999999997,1,0.195,1.0300000000000001e-05,0.631,0.324,0.0329,121.01299999999999,96013,4,28.098940000000002,6,0,2000
108,Fun in America,Jayne County,spotify:track:0pDrgytQok3cwE3RFFuCSW,0.359,0.9790000000000001,2,-6.997999999999999,1,0.196,0.0105,0.0,0.0763,0.256,172.611,187907,4,20.91098,10,0,2000
109,Sinking,Incendiary,spotify:track:691zGt8f43n3D2X068fHaa,0.209,0.9229999999999999,7,-3.286,1,0.0598,5.660000000000001e-05,0.0505,0.326,0.42,93.34700000000001,170813,4,105.99946000000001,5,0,2000
110,Suffocate,J. Holiday,spotify:track:3nJjIYchBNkYm7B8XfJf5N,0.45799999999999996,0.445,9,-8.391,0,0.361,0.64,0.0,0.11800000000000001,0.447,82.82,220053,5,33.16176,7,1,2000
111,Echoes of Fashion,Djako,spotify:track:2kEP1TKpYEiWS1mVLaP47f,0.71,0.787,7,-7.962000000000001,0,0.0365,0.006490000000000001,0.815,0.0609,0.42200000000000004,128.05,288750,4,31.40298,11,0,2000
112,I Touch Myself,Jan Wayne,spotify:track:5GrqtGJhoa6EqvCUs5fVYf,0.636,0.993,5,-5.202999999999999,0,0.0508,0.00878,0.268,0.26,0.478,141.97,223947,4,56.28675,11,0,2000
113,Baby Please,Allison,spotify:track:2JMLgdz2Y5CnNPE70A1OYK,0.628,0.541,1,-5.568,1,0.0246,0.292,0.0,0.0933,0.44299999999999995,102.51299999999999,157960,4,49.69981,7,0,2000
114,If Nobody Believed In You,Joe Nichols,spotify:track:28NvPQZ8XVVlV2eGmUw2Za,0.679,0.316,6,-11.327,1,0.031,0.625,4.85e-05,0.109,0.273,127.96799999999999,235067,4,42.55397,9,1,2000
115,Are You Gonna Be My Girl,Jet,spotify:track:305WCRhhS10XUcH6AEwZk6,0.613,0.953,2,-3.435,1,0.0855,0.00148,0.000582,0.152,0.537,105.046,213800,4,20.87996,7,1,2000
116,The Worms Will Get In,Jazkamer,spotify:track:5HwXiRSQIJfDDzZatkpMMY,0.0775,0.00796,1,-10.458,1,0.0413,0.841,0.9229999999999999,0.102,0.028999999999999998,72.592,1011760,4,12.57441,57,0,2000
